Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     Exp_Prob                 
0                        0.015538272327846952     50001                    0.0                      120.0                    10                       1.2720590829849243       183.11033630371094       272                      0.05507364124059677      0.9549991                
50000                    0.5993724287880792       100001                   0.8                      131.6                    10                       1.381132960319519        187.81881713867188       265                      0.015426686964929104     0.9099991                
100000                   1.2181703179412418       150001                   0.1                      4994.9                   10                       1.1514091491699219       175.96836853027344       284                      0.007459807675331831     0.8649990999999999       
150000                   1.8525189803044002       200001                   0.0                      4500.0                   10                       1.2335762977600098       181.90145874023438       274                      0.0015737527282908559    0.8199991                
200000                   2.4726199342807136       250001                   0.2                      4979.2                   10                       1.3025829792022705       183.83030700683594       271                      0.0022757805418223143    0.7749991                
250000                   3.0775382471084596       300001                   1.0                      3552.7                   10                       1.1281142234802246       177.46250915527344       281                      0.0017307550879195333    0.7299991                
300000                   3.684309654434522        350001                   1.1                      2095.8                   10                       1.1964913606643677       175.26666259765625       285                      0.0022806006018072367    0.6849991                
350000                   4.279295224547386        400001                   2.2                      1138.4                   10                       1.3913044929504395       180.67385864257812       276                      0.0031361805740743876    0.6399990999999999       
400000                   4.856093735098839        450001                   0.3                      133.1                    10                       1.3956832885742188       179.8525848388672        278                      0.004609265364706516     0.5949991                
450000                   5.415698883401023        500001                   1.9                      1140.9                   10                       1.5647066831588745       196.07058715820312       255                      0.004225892014801502     0.5499991                
500000                   6.013036405775282        550001                   2.8                      3068.0                   10                       2.415886878967285        233.20094299316406       214                      0.0036283177323639393    0.5049991                
550000                   6.574439712100559        600001                   2.7                      4982.3                   10                       4.092592716217041        307.71002197265625       162                      0.012011099606752396     0.4599991                
600000                   7.144324352145195        650001                   7.1                      368.3                    10                       5.992537975311279        371.4104919433594        134                      0.011343958787620068     0.41499909999999995      
650000                   7.705403268535932        700001                   10.3                     4552.7                   10                       8.306310653686523        449.67559814453125       111                      0.00903779361397028      0.3699991                
700000                   8.246528281635708        750001                   9.0                      1426.3                   10                       8.37167739868164         442.42486572265625       113                      0.010192940011620522     0.3249991                
750000                   8.7933996158176          800001                   6.3                      1791.5                   10                       9.057144165039062        472.0570983886719        105                      0.008216657675802708     0.27999910000000006      
800000                   9.337460988362631        850001                   13.5                     597.2                    10                       10.16326904296875        508.69390869140625       98                       0.012186589650809765     0.23499910000000002      
850000                   9.874054268134964        900001                   16.8                     684.5                    10                       10.547369956970215       522.2315063476562        95                       0.006397860590368509     0.18999909999999998      
900000                   10.407259693344434       950001                   14.3                     622.8                    10                       11.931817054748535       566.92041015625          88                       0.015076074749231339     0.14499910000000002      
