Iteration                Wall_Time                Samples                  Test_Return              Test_Episode_Length      Test_Episodes            Train_Return             Train_Episode_Length     Train_Episodes           Loss                     
0                        0.0007368408309088813    100                      5.1236854538620715       1000.0                   10                       0.0                      0.0                      0                        9.712794303894043        
10                       0.0016904807090759278    1100                     119.4401994365443        1000.0                   10                       33.87516784667969        1000.0                   1                        -2.8380141258239746      
20                       0.002774907482994927     2100                     112.30311160116807       1000.0                   10                       80.36770629882812        1000.0                   1                        -3.5895116329193115      
30                       0.0038369962904188366    3100                     98.93563209715921        1000.0                   10                       200.9760284423828        1000.0                   1                        -3.783491849899292       
40                       0.0050077617168426515    4100                     97.30027363288306        1000.0                   10                       34.148765563964844       1000.0                   1                        -3.9258835315704346      
50                       0.0062708897723091975    5100                     180.17235672904877       1000.0                   10                       247.3285675048828        1000.0                   1                        -3.9242942333221436      
60                       0.0076917450957828095    6100                     340.4432040827651        1000.0                   10                       147.72410583496094       1000.0                   1                        -3.9301490783691406      
70                       0.00915297998322381      7100                     368.54877430736286       1000.0                   10                       90.8438949584961         1000.0                   1                        -3.974041223526001       
80                       0.010701066586706373     8100                     546.7094662082638        1000.0                   10                       580.4074096679688        1000.0                   1                        -3.962815523147583       
90                       0.012344250877698262     9100                     571.1308762937027        1000.0                   10                       583.4400634765625        1000.0                   1                        -3.973252773284912       
100                      0.014112374981244406     10100                    608.6670688362792        1000.0                   10                       598.1002197265625        1000.0                   1                        -3.9849178791046143      
110                      0.015933137204911973     11100                    611.0509935860522        1000.0                   10                       624.74951171875          1000.0                   1                        -3.997432231903076       
120                      0.01788874003622267      12100                    619.0177432203666        1000.0                   10                       562.909423828125         1000.0                   1                        -4.001859188079834       
130                      0.02008313834667206      13100                    611.2994970764033        1000.0                   10                       622.9681396484375        1000.0                   1                        -4.009946346282959       
140                      0.022239922218852574     14100                    609.8375327372923        1000.0                   10                       630.1326293945312        1000.0                   1                        -4.016186714172363       
150                      0.024474503596623738     15100                    608.3540157129988        1000.0                   10                       613.5027465820312        1000.0                   1                        -4.022139549255371       
160                      0.02772011525101132      16100                    566.5243400409527        1000.0                   10                       628.93896484375          1000.0                   1                        -4.026633262634277       
170                      0.03014263457722134      17100                    503.82313659449676       1000.0                   10                       609.728271484375         1000.0                   1                        -4.032055854797363       
180                      0.03271619511975182      18100                    619.8739323338493        1000.0                   10                       610.5706787109375        1000.0                   1                        -4.035785675048828       
190                      0.035347651508119374     19100                    591.5187980318184        1000.0                   10                       617.474609375            1000.0                   1                        -4.039703845977783       
